Timestamp,EmUntitled Question,Score,هل تصلي؟,هل عندك صحاب بنات/تتصور مع بنات/تسلم على بنات؟,هل أنت كثير الهزار؟,هل أنت تافه؟,هل أنت ذكوري/صوتك عالي؟,هل تغير طبقة صوتك أمام البنات؟,هل أنت تافه/عديم الشخصية/عديم الطموح؟,هل أنت ضد المقاومة/رقصت أمام لجنة من قبل/مع أي فصيل يقتل الأبرياء أو دعمت قتل أي مدني ولو بهزار؟,هل تهزر بالتقليل من شأن المرأة وتعتقد بذلك أن دمك خفيف؟,هل تهزر بالاستخفاف بأي شخص؟,هل تهزر بالتقليل من مجهود غيرك؟,هل تهزر هزار غير محترم؟,هل تهزر بأنك ستتزوج على زوجتك؟,هل تشتم كثيرًا؟,هل تقلل من المرأة؟,هل لا تعرف معنى القوامة وتأخذ من الدين ما يوافق مزاجك؟,هل لا تعرف كيف تتناقش؟,هل أنت شكاك باكي؟,هل لا تعرف كيف تسمع؟,هل أنت هجومي؟,هل تتكلم أكثر مما تسمع؟,هل لا تعرف متى تتكلم؟,هل تتكلم كثيرًا عن المال وبالمال؟,هل تهزر عن علاقتك السابقة أو تتفاخر بها أو بعدد العلاقات التي كانت في حياتك أو بعدد البنات اللواتي تعرفهن أو تجلب سيرة علاقاتك القديمة بشكل عام؟,هل تتدخل فيما لا يعنيك وتقول رأيك في أمور لا تخصك؟,هل أنت متكبر وترى نفسك؟,هل تتكلم كثيرًا عن نفسك؟,هل أنت غير واثق في نفسك؟,هل تلعب دور الضحية؟,هل تفلرت بطريقة مبالغ فيها؟,هل أنت جاهل بأمور الدنيا حولك وليس لك في السياسة؟,هل لديك إدمان على أي شيء؟,هل أنت مدخن؟,هل أنت كسول؟,هل أنت قليل اللباقة؟,هل أنت فتاي؟,هل لديك جهل بحدودك في التعامل مع الآخرين وخصوصًا البنات؟,هل أنت غير مريح؟,هل أنت غير نظيف/ أظافرك/ أسنانك/ رائحتك؟,هل لا تعرف الفرق بين الحرية وقلة الدين؟,هل لا تعرف الفرق بين التدين والتشدد والتعقيد؟,هل لا تعرف الفرق بين الانفتاح والدياثة؟,هل تتكلم بيدك/تتعامل بيدك؟,هل تتعامل بعشوائية وحميمية مفرطة؟,هل أنت خفيف؟,هل أنت غشيم؟,هل تمضغ اللبان بطريقة مستفزة؟,هل تأكل بصوت؟,هل ترى الزوجة عبدة لك وليست شريكة حياة؟,هل ترى المرأة أداة للجنس فقط؟,هل أنت مهرج؟,هل لا تعرف كيف تحدد أولوياتك؟,هل لا تعرف هدفك من العلاقة التي أنت فيها؟,هل أنت sweet talker مع الجميع؟,هل أنت هلاس؟,هل أنت لتوت وعجوز/نمام/منسون؟,هل تقارن كثيرًا؟,هل تقلد الآخرين كثيرًا؟,"إذا كان لديك غمازة, هل تجلس تحزق أو إذا كانت عينك ملونة هل تظل تحدق أو تثقب بنظراتك؟",هل أنت غير مؤدب وغير لبق؟,هل نظراتك غير لائقة؟,هل لا تذكر الله/لا تأكل بيدك اليمنى/لا تردد الأذان؟,هل تلبس بنطال ضيق/قصير/تيشيرت فاضح لعورتك/أي شيء لامع أو ينور/بنطال مقطع أو أي شيء مقطع بشكل عام/يسقط البنطال/تلبسين خواتم كثيرة جدًا؟,هل تتفاخر بأي ذنب ارتكبته؟,هل تزعق وتشتم وأنتِ تتابع مباراة؟,هل ليس لديكِ ثبات انفعالي؟,هل أنت بخيل؟,هل لا تعرف كيف تعبر عن مشاعرك؟,هل تسكتي عندما تزعل؟,هل لا تقدر الأمور البسيطة؟,هل ذاكرتك غير جيدة إلا في كرة القدم فقط؟,هل تشجع الزمالك؟,"هل تري أن الاهتمام بالنفس ""نسونة""؟",هل تفتحي القميص أوي بشكل مبالغ فيه؟,هل تجلس واضع رجلك مفتوحة أوي؟,هل تضع رجلك في وجه من أمامك؟,هل تقاطع من أمامك بشكل مبالغ فيه؟
1/14/2024 1:35:50,,37,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1
1/14/2024 1:40:10,,47,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1
1/14/2024 1:45:24,,21,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
1/14/2024 1:54:44,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,
1/14/2024 2:05:26,,25,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
1/14/2024 2:10:34,,26,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1/14/2024 2:11:01,,52,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1
1/14/2024 2:27:00,,37,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0
1/14/2024 2:34:00,,8,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2024 2:39:26,,15,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1/14/2024 2:47:33,,17,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
1/14/2024 2:50:08,,24,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1/14/2024 3:03:13,,36,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
1/14/2024 3:13:08,,30,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
1/14/2024 3:38:39,,20,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1/14/2024 3:58:46,,27,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
1/14/2024 4:55:34,,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/14/2024 5:42:38,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
1/14/2024 7:00:24,,17,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/14/2024 7:21:50,,23,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
1/14/2024 7:41:22,,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/14/2024 7:52:02,,32,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1
1/14/2024 9:14:40,,19,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
1/14/2024 10:03:52,,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2024 10:43:19,,44,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
1/14/2024 10:54:27,,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
1/14/2024 10:55:40,,16,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2024 11:06:54,,13,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
